name,rank,rank_points
Martin Benes,1874T,1
Tristan Berard,1874T,1
Victor Braga,1874T,1
Timothy Carlsson Seger,1874T,1
Salvatore Caruso,1874T,1
Luke Casper,1874T,1
Jordan Correia,1874T,1
Joaquim De Almeida,1874T,1
Vito Dell'Elba,1874T,1
Nikola Djukic Valera,1874T,1
Sid Donarski,1874T,1
Ivan Dreycopp,1874T,1
Maximus Dussault,1874T,1
Oskari Eerola,1874T,1
Lorenzo Esquici,1874T,1
Janos Fekete,1874T,1
Juan Carlos Fuentes Vasquez,1874T,1
Thomas Nicholas Gadecki,1874T,1
Andrei Corneliu Gadoiu,1874T,1
Giammarco Gandolfi,1874T,1
Filippo Francesco Garbero,1874T,1
Iker Gaztambide Arrastia,1874T,1
Alexander Glomb,1874T,1
Aditya Govila,1874T,1
Filip Gustafsson,1874T,1
Asahi Harazaki,1874T,1
Matthew Harris,1874T,1
Lucas Horve,1874T,1
Chun-Chien Hou,1874T,1
Nicolas Hurtado Novoa,1874T,1
Tatsuma Ito,1874T,1
Mihail Ivanov,1874T,1
Alejandro Jacome Jaramillo,1874T,1
Alex Jones,1874T,1
Mickael Kaouk,1874T,1
Toshiki Karigyo,1874T,1
Dong Ju Kim,1874T,1
Jae Hwan Kim,1874T,1
Kenzo Koistila Larsson,1874T,1
Holden Koons,1874T,1
Veljko Krstic,1874T,1
Espen Lagarde,1874T,1
Lance Lage,1874T,1
Yazid Lahjomri,1874T,1
Daniel Little,1874T,1
Cyrus Mahjoob,1874T,1
Adam Majchrzak,1874T,1
Ajay Malik,1874T,1
Tomas Marin,1874T,1
Stefan Menichella,1874T,1
Andreas Messis,1874T,1
Petr Michnev,1874T,1
Mak Mikovic,1874T,1
Milos Mikovic,1874T,1
Zhou Mingzhou,1874T,1
Moein Moazam,1874T,1
Javier Molino,1874T,1
Diogo Morais,1874T,1
Freddy Murray,1874T,1
Mattia Nannelli,1874T,1
Andy Nguyen,1874T,1
Daniil Piatrouski,1874T,1
Tomas Pinho,1874T,1
Yannik Rahman,1874T,1
Cesar Ramirez,1874T,1
Arjun Rathi,1874T,1
Pablo Robledo,1874T,1
Hillel Rousseau,1874T,1
Yan Sabanin,1874T,1
Kaua Lorenzo Santos Gava,1874T,1
Jack Satterfield,1874T,1
David Saye,1874T,1
Yoshka Sborowsky,1874T,1
Gabriel Schenekenberg,1874T,1
Igor Shrolik,1874T,1
Andre Steinbach,1874T,1
Max Stenzer,1874T,1
Leonardo Taddia,1874T,1
Etienne Teboh,1874T,1
Flynn Thomas,1874T,1
Aadarsh Tripathi,1874T,1
Venedikt Tsirikidze,1874T,1
Yubel Ubri,1874T,1
Alexander Ushakov,1874T,1
Abdulaziz Usmonjonov,1874T,1
Sean Van Rensburg,1874T,1
Iiro Vasa,1874T,1
Lachlan Vickery,1874T,1
Alexander Vikhlyantsev,1874T,1
Gray Voelzke,1874T,1
Max Westphal,1874T,1
Aaron James Williams,1874T,1
Xiaoyin Yang,1874T,1
Arturs Zagars,1874T,1
Damir Abdusamadov,1971T,1
Zachary Adam-Gedge,1971T,1
Laurin Aerne,1971T,1
Mohammad Alkotop,1971T,1
Pol Amoros Ramos,1971T,1
Christos Antonopoulos,1971T,1
Romeo Arcuschin,1971T,1
Sergio Badini,1971T,1
Carson Baker,1971T,1
Michael Alejandro Beltran Rubio,1971T,1
Patricio Betancourt Gonzalez,1971T,1
Adrien Burdet,1971T,1
Miguel Angel Cabrera,1971T,1
Filippo Callerio,1971T,1
Cristian Campese,1971T,1
Vasilios Caripi,1971T,1
Marcos Castro Fabra,1971T,1
Yash Chaurasia,1971T,1
Lorenzo Comino,1971T,1
Nav Dayal,1971T,1
Julian Desousa,1971T,1
Marin Dumitru,1971T,1
Gabriel Elicha Navas,1971T,1
Samyar Elyasi,1971T,1
Maxwell Exsted,1971T,1
Corey Gaal,1971T,1
Nicolas Rafael Goldberg Alviani,1971T,1
Kornel Halmos,1971T,1
Gregor Hausberger,1971T,1
Ryan Haviland,1971T,1
Theo Herrmann,1971T,1
Patrik Homola,1971T,1
Haoyuan Huang,1971T,1
Harold Huens,1971T,1
Noah Karma,1971T,1
Tarun Karra,1971T,1
Ivan Kazakov,1971T,1
Darian King,1971T,1
Weiyi Kong,1971T,1
Yuhei Kono,1971T,1
Alexander Krylov,1971T,1
Andrei Kunitsyn,1971T,1
Mikhail Malakhovich,1971T,1
Mario Mansilla Diez,1971T,1
Daniel Marincas,1971T,1
Norbert Marosik,1971T,1
Louroi Martinez,1971T,1
Gasper Matijasic,1971T,1
Vladislav Melnic,1971T,1
Felix Mischker,1971T,1
Abdulhamid Mubarak,1971T,1
Hien Pham,1971T,1
Boris Pokotilov,1971T,1
Loris Pourroy,1971T,1
Peter Benjamin Privara,1971T,1
Bruno Pujol Navarro,1971T,1
Nico Rating,1971T,1
Savva Rybkin,1971T,1
Jonas Schaer,1971T,1
Tom Sickenberger,1971T,1
Fredrik Krogh Solheim,1971T,1
Yusaku Sugaya,1971T,1
Bjorn Swenson,1971T,1
Dean Thurner,1971T,1
Emon Van Loben Sels,1971T,1
Yamato Yukawa,1971T,1
Gonzalo Zeitune,1971T,1
Tom Zeuch,1971T,1
Muni Ananth Mani,2039T,1
Dusan Baranec,2039T,1
Marcell Bartakovics,2039T,1
Sami Ben Abdennibi,2039T,1
Dakotah Bobo,2039T,1
Leonardo Borrelli,2039T,1
Mateo Carballo,2039T,1
Lucio Carnevalle,2039T,1
Pavlos Christoforakis,2039T,1
Reuben De Klerk,2039T,1
Hamza El Amine,2039T,1
Hong-Lin Fu,2039T,1
Syl Gaxherri,2039T,1
Nicholas Godsick,2039T,1
Timothy Gray,2039T,1
Benjamin Gusic - Wan,2039T,1
Kaeri Hernandez Mariona,2039T,1
Yeonsu Jeong,2039T,1
Atakan Karahan,2039T,1
Matt Kleiman,2039T,1
Nicolas Kobelt,2039T,1
Daniel Lara Salmeron,2039T,1
Jules Leroux,2039T,1
William Manning,2039T,1
Matteo Mesaglio,2039T,1
Ahmed Mouhan,2039T,1
Jonathan Mridha,2039T,1
Ren Nakamura,2039T,1
Fabrizio Karol Pio Osti,2039T,1
Charlie Pade,2039T,1
Piotr Pawlak,2039T,1
Hiroki Sakagawa,2039T,1
Michalis Sakellaridis,2039T,1
Manuel Sanchez,2039T,1
Piotr Siekanowicz,2039T,1
Gabriel Tumasonis,2039T,1
Guillermo Tunas,2039T,1
Fons Van Sambeek,2039T,1
Ronetto Van Tilburg,2039T,1
Elias Julian Werner,2039T,1
Yash Yadav,2039T,1
Max Benaim,2080T,1
Alexander Bravo,2080T,1
Alessandro Coccioli,2080T,1
Sven Corbinais,2080T,1
Guy Den Heijer,2080T,1
Rahul Dhokia,2080T,1
Mathys Domenc,2080T,1
Patrick Foley,2080T,1
Tobias Franco,2080T,1
Seonyong Han,2080T,1
Alvaro Jimenez,2080T,1
Jack Karlsson Wistrand,2080T,1
Bruno Kokot,2080T,1
Karl Kazuma Lee,2080T,1
Dylan Long,2080T,1
Noah Lopez,2080T,1
Alexander Maggs,2080T,1
Cian Maguire,2080T,1
Goncalo Marques,2080T,1
Jirat Navasirisomboon,2080T,1
Weiwen Pan,2080T,1
Drazen Petrovic,2080T,1
Dominik Recek,2080T,1
Martins Rocens,2080T,1
Atharva Sharma,2080T,1
Mikal Statham,2080T,1
Vullnet Tashi,2080T,1
Breno Rossetto Urvaneja,2080T,1
Lars Goran Verwerft,2080T,1
Edouard Villoslada,2080T,1
Alexander Wagner,2080T,1
Vitaliy Zatsepin,2080T,1
Marco Alvarez,2112T,1
Mateo Luis Alvarez Sarmiento,2112T,1
Melih Anavatan,2112T,1
Oscar Galimardanov,2112T,1
Federico Garbero,2112T,1
Erik Grevelius,2112T,1
Eric Hadigian,2112T,1
Henri Haupt,2112T,1
Rein Koenders,2112T,1
Joel Angel Lucero,2112T,1
Arjun Mehrotra,2112T,1
Silvio Mencaglia,2112T,1
Saba George Nanobashvili,2112T,1
Joao Portugal,2112T,1
Gheorghe Claudiu Schinteie,2112T,1
Rafael Segado Esteve,2112T,1
Glib Sekachov,2112T,1
Michael Shaw,2112T,1
Mattias Southcombe,2112T,1
Miha Vetrih,2112T,1
Kerem Yilmaz,2112T,1
Alejandro Bancalari,2133T,1
Federico Campana,2133T,1
Vlad Andrei Dancu,2133T,1
Liam Delicata,2133T,1
Kabir Hans,2133T,1
Ryusuke Horiuchi,2133T,1
Jakub Jedrzejczak,2133T,1
Danil Panarin,2133T,1
Matt Ponchet,2133T,1
Essa Qabazard,2133T,1
Nicolas Esteban Rico Arias,2133T,1
Lazar Vojinovic,2133T,1
Minghui Zhang,2133T,1
Louis Allen,2146T,1
Marcos Lee Chan Baratau,2146T,1
Jonas Gundacker,2146T,1
Nicolas Hollender,2146T,1
Makar Krivoshchekov,2146T,1
Enmanuel Munoz,2146T,1
Kyle Overmyer,2146T,1
Luca Parenti,2146T,1
Benjamin Pietri,2146T,1
Nicola Rispoli,2146T,1
Justin Roberts,2146T,1
Daniel Uta,2146T,1
Yuttana Charoenphon,2158T,1
Nicolas Garcia Longo,2158T,1
Stefan Kostic,2158T,1
Aryan Lakshmanan,2158T,1
Kazuki Nishiwaki,2158T,1
Guilherme Valdoleiros,2158T,1
Zhan Zheng,2158T,1
Abraham Asaba,2165T,1
Petr Iamachkine,2165T,1
Leo Lagarrigue,2165T,1
Andrea Bacaloni,2168T,1
Stijn Paardekooper,2168T,1
Benjamin Torres,2170,1
